matchId,referee,timezone,date,timestamp,period_first,period_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,home_team_id,home_team_name,home_team_logo,home_team_winner,away_team_id,away_team_name,away_team_logo,away_team_winner,goals_home,goals_away,halftime_home,halftime_away,fulltime_home,fulltime_away,extratime_home,extratime_away,penalty_home,penalty_away,home_shotsOnGoal,home_shotsOffGoal,home_totalShots,home_blockedShots,home_shotsInsideBox,home_shotsOutsideBox,home_fouls,home_cornerKicks,home_offsides,home_possession,home_yellowCards,home_redCards,home_goalkeeperSaves,home_totalPasses,home_accuratePasses,home_passPercentage,home_expectedGoals,home_goalsPrevented,away_shotsOnGoal,away_shotsOffGoal,away_totalShots,away_blockedShots,away_shotsInsideBox,away_shotsOutsideBox,away_fouls,away_cornerKicks,away_offsides,away_possession,away_yellowCards,away_redCards,away_goalkeeperSaves,away_totalPasses,away_accuratePasses,away_passPercentage,away_expectedGoals,away_goalsPrevented,resultado
1037952,Javier Alberola,UTC,2023-08-11T17:30:00+00:00,1691775000,1691775000,1691778600,19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,723,Almeria,https://media.api-sports.io/football/teams/723.png,false,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,true,0,2,0,2,0,2,,,,,5,11,19,3,12,7,16,8,1,60%,1,,2,480,422,88%,1.39,,4,2,10,4,6,4,25,3,1,40%,3,,5,329,255,78%,2.07,,Away Win
1037953,Jesús Gil,UTC,2023-08-12T19:30:00+00:00,1691868600,1691868600,1691872200,1460,San Mamés Barria,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,false,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,0,2,0,2,0,2,,,,,1,3,7,3,5,2,18,7,2,46%,3,,6,489,419,86%,0.45,,8,3,14,3,10,4,6,5,2,54%,1,,1,603,528,88%,0.99,,Away Win
1037954,Juan Pulido,UTC,2023-08-14T19:30:00+00:00,1692041400,1692041400,1692045000,19217,Estádio Cívitas Metropolitano,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,715,Granada CF,https://media.api-sports.io/football/teams/715.png,false,3,1,1,0,3,1,,,,,6,6,14,2,11,3,15,3,3,45%,3,,3,428,351,82%,2.42,,4,0,7,3,5,2,9,3,0,55%,1,,3,527,435,83%,0.94,,Home Win
1037955,Pablo González,UTC,2023-08-13T15:00:00+00:00,1691938800,1691938800,1691942400,1467,Abanca-Balaídos,Vigo,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,false,727,Osasuna,https://media.api-sports.io/football/teams/727.png,true,0,2,0,1,0,2,,,,,1,7,11,3,8,3,11,7,6,52%,1,,3,469,385,82%,0.96,,5,5,11,1,8,3,15,2,1,48%,1,,0,433,324,75%,0.95,,Away Win
1037956,José Sánchez,UTC,2023-08-11T20:00:00+00:00,1691784000,1691784000,1691787600,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,536,Sevilla,https://media.api-sports.io/football/teams/536.png,false,532,Valencia,https://media.api-sports.io/football/teams/532.png,true,1,2,0,0,1,2,,,,,3,5,9,1,5,4,15,8,3,55%,3,1,1,397,297,75%,0.72,,3,6,10,1,7,3,17,1,0,45%,2,0,2,343,244,71%,1.12,,Away Win
1037957,Víctor García,UTC,2023-08-12T17:30:00+00:00,1691861400,1691861400,1691865000,1481,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,,1,1,1,0,1,1,,,,,2,1,5,2,2,3,11,3,1,69%,3,,1,605,522,86%,0.92,,2,8,12,2,8,4,21,6,6,31%,2,,1,255,178,70%,1.61,,Draw
1037958,César Soto,UTC,2023-08-13T19:30:00+00:00,1691955000,1691955000,1691958600,1476,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,546,Getafe,https://media.api-sports.io/football/teams/546.png,,529,Barcelona,https://media.api-sports.io/football/teams/529.png,,0,0,0,0,0,0,,,,,2,3,5,0,3,2,20,3,4,25%,8,1,3,233,167,72%,0.57,,4,7,14,3,6,8,11,4,2,75%,2,1,2,729,659,90%,1.49,,Draw
1037959,Miguel Ortiz,UTC,2023-08-13T17:30:00+00:00,1691947800,1691947800,1691951400,1498,Estadio de la Cerámica,Villarreal,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,533,Villarreal,https://media.api-sports.io/football/teams/533.png,false,543,Real Betis,https://media.api-sports.io/football/teams/543.png,true,1,2,0,1,1,2,,,,,5,6,18,7,12,6,13,9,2,63%,1,,3,560,481,86%,0.91,,5,2,12,5,6,6,17,4,1,37%,3,,4,317,251,79%,1.05,,Away Win
1037960,Francisco Hernández,UTC,2023-08-12T15:00:00+00:00,1691852400,1691852400,1691856000,1491,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,547,Girona,https://media.api-sports.io/football/teams/547.png,,1,1,1,0,1,1,,,,,2,11,15,2,7,8,22,4,0,48%,2,,0,376,306,81%,0.99,,1,2,6,3,5,1,9,1,3,52%,5,,1,416,342,82%,1.15,,Draw
1037961,Isidro Díaz de Mera,UTC,2023-08-14T17:30:00+00:00,1692034200,1692034200,1692037800,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 1,724,Cadiz,https://media.api-sports.io/football/teams/724.png,true,542,Alaves,https://media.api-sports.io/football/teams/542.png,false,1,0,1,0,1,0,,,,,3,6,12,3,7,5,19,2,2,44%,3,1,2,298,206,69%,0.66,,2,5,10,3,4,6,15,4,2,56%,2,0,2,365,274,75%,0.25,,Home Win
1037962,José Sánchez,UTC,2023-08-19T17:30:00+00:00,1692466200,1692466200,1692469800,19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,723,Almeria,https://media.api-sports.io/football/teams/723.png,false,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,1,3,1,1,1,3,,,,,8,8,20,4,13,7,10,4,1,43%,1,,6,428,367,86%,1.33,,9,11,25,5,18,7,13,5,4,57%,0,,7,567,518,91%,1.98,,Away Win
1037963,Alejandro Muñiz,UTC,2023-08-20T17:30:00+00:00,1692552600,1692552600,1692556200,19939,Estadi Olímpic Lluís Companys,Barcelona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,724,Cadiz,https://media.api-sports.io/football/teams/724.png,false,2,0,0,0,2,0,,,,,10,6,24,8,19,5,9,10,1,75%,4,,1,612,559,91%,3.48,,1,7,10,2,10,0,22,2,1,25%,3,,8,196,133,68%,1.15,,Home Win
1037964,Javier Alberola,UTC,2023-08-18T17:30:00+00:00,1692379800,1692379800,1692383400,19940,Estadi Mallorca Son Moix,Palma de Mallorca,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,798,Mallorca,https://media.api-sports.io/football/teams/798.png,false,533,Villarreal,https://media.api-sports.io/football/teams/533.png,true,0,1,0,0,0,1,,,,,1,4,8,3,7,1,12,6,6,40%,2,,3,323,272,84%,0.38,,3,7,15,5,11,4,11,5,1,60%,4,,1,517,463,90%,1.95,,Away Win
1037965,Pablo González,UTC,2023-08-21T19:30:00+00:00,1692646200,1692646200,1692649800,1479,Estadio Nuevo Los Cármenes,Granada,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,715,Granada CF,https://media.api-sports.io/football/teams/715.png,false,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,true,0,2,0,0,0,2,,,,,7,5,14,2,10,4,14,5,1,49%,2,1,7,360,278,77%,1.19,,9,6,17,2,11,6,11,6,7,51%,1,0,7,384,296,77%,2.14,,Away Win
1037966,Guillermo Cuadra,UTC,2023-08-21T17:00:00+00:00,1692637200,1692637200,1692640800,1470,Estadio de Mendizorroza,Vitoria-Gasteiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,542,Alaves,https://media.api-sports.io/football/teams/542.png,true,536,Sevilla,https://media.api-sports.io/football/teams/536.png,false,4,3,2,2,4,3,,,,,7,7,14,0,10,4,14,4,0,33%,1,,0,268,166,62%,1.85,,2,4,12,6,3,9,13,4,1,67%,2,,3,552,464,84%,0.64,,Home Win
1037967,José Munuera,UTC,2023-08-19T19:30:00+00:00,1692473400,1692473400,1692477000,1486,Estadio El Sadar,Iruñea,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,727,Osasuna,https://media.api-sports.io/football/teams/727.png,false,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,true,0,2,0,2,0,2,,,,,7,5,18,6,11,7,9,5,2,62%,1,1,0,535,436,81%,1.28,,2,4,8,2,5,3,14,3,0,38%,5,1,7,331,232,70%,1.56,,Away Win
1037968,Ricardo De Burgos,UTC,2023-08-20T19:30:00+00:00,1692559800,1692559800,1692563400,1489,Estadio Benito Villamarín,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,543,Real Betis,https://media.api-sports.io/football/teams/543.png,,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,,0,0,0,0,0,0,,,,,0,8,14,6,10,4,10,2,3,53%,2,,1,551,485,88%,0.74,,1,2,5,2,4,1,8,7,2,47%,1,,0,494,423,86%,0.40,,Draw
1037969,Miguel Ortiz,UTC,2023-08-19T15:00:00+00:00,1692457200,1692457200,1692460800,1491,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,,1,1,1,0,1,1,,,,,2,5,11,4,7,4,12,9,0,52%,2,,6,419,315,75%,0.71,,6,6,17,5,10,7,12,7,3,48%,1,,1,376,279,74%,1.13,,Draw
1037970,Jorge Figueroa,UTC,2023-08-20T17:00:00+00:00,1692550800,1692550800,1692554400,1478,Estadi Municipal de Montilivi,Girona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,547,Girona,https://media.api-sports.io/football/teams/547.png,true,546,Getafe,https://media.api-sports.io/football/teams/546.png,false,3,0,1,0,3,0,,,,,6,0,7,1,5,2,11,3,3,65%,2,,2,529,457,86%,1.42,,2,6,9,1,5,4,20,2,2,35%,5,,3,274,189,69%,0.70,,Home Win
1037971,Javier Iglesias,UTC,2023-08-18T19:30:00+00:00,1692387000,1692387000,1692390600,1497,Estadio de Mestalla,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 2,532,Valencia,https://media.api-sports.io/football/teams/532.png,true,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,false,1,0,0,0,1,0,,,,,4,2,9,3,8,1,12,6,2,39%,,,1,365,290,79%,1.54,,1,4,7,2,2,5,6,4,1,61%,,,3,605,522,86%,0.52,,Home Win
1037972,César Soto,UTC,2023-08-27T19:30:00+00:00,1693164600,1693164600,1693168200,1460,San Mamés Barria,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,true,543,Real Betis,https://media.api-sports.io/football/teams/543.png,false,4,2,3,2,4,2,,,,,6,5,14,3,10,4,23,5,2,47%,4,,3,401,305,76%,2.87,,4,3,9,2,6,3,11,3,2,53%,2,,2,468,370,79%,0.44,,Home Win
1037973,Isidro Díaz de Mera,UTC,2023-08-25T19:30:00+00:00,1692991800,1692991800,1692995400,1467,Abanca-Balaídos,Vigo,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,false,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,0,1,0,0,0,1,,,,,4,6,13,3,10,3,19,3,0,37%,2,,2,350,277,79%,1.24,,3,5,10,2,6,4,14,5,3,63%,3,,4,635,568,89%,1.36,,Away Win
1037974,Francisco Hernández,UTC,2023-08-26T17:30:00+00:00,1693071000,1693071000,1693074600,1479,Estadio Nuevo Los Cármenes,Granada,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,715,Granada CF,https://media.api-sports.io/football/teams/715.png,true,798,Mallorca,https://media.api-sports.io/football/teams/798.png,false,3,2,1,1,3,2,,,,,4,3,10,3,6,4,11,5,1,53%,2,,3,354,277,78%,1.43,,5,4,10,1,10,0,27,3,1,47%,7,,1,318,243,76%,2.62,,Home Win
1037975,Guillermo Cuadra,UTC,2023-08-25T17:30:00+00:00,1692984600,1692984600,1692988200,1481,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,0,0,0,0,0,0,,,,,5,3,11,3,6,5,7,5,3,52%,1,,1,466,377,81%,0.91,,1,4,8,3,7,1,29,7,4,48%,4,,5,424,340,80%,1.00,,Draw
1037976,Víctor García,UTC,2023-08-26T17:00:00+00:00,1693069200,1693069200,1693072800,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,723,Almeria,https://media.api-sports.io/football/teams/723.png,,1,1,0,0,1,1,,,,,3,4,11,4,7,4,16,7,0,52%,0,1,1,345,266,77%,1.58,,2,2,5,1,3,2,22,3,1,48%,5,1,2,332,253,76%,0.26,,Draw
1037977,José Munuera,UTC,2023-08-28T19:30:00+00:00,1693251000,1693251000,1693254600,1488,Estadio de Vallecas,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,false,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,0,7,0,3,0,7,,,,,3,7,12,2,7,5,19,8,3,56%,4,,3,477,371,78%,0.56,,10,4,17,3,14,3,17,3,1,44%,3,,3,386,286,74%,3.45,,Away Win
1037978,Alejandro Hernández,UTC,2023-08-27T15:30:00+00:00,1693150200,1693150200,1693153800,1498,Estadio de la Cerámica,Villarreal,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,533,Villarreal,https://media.api-sports.io/football/teams/533.png,false,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,3,4,2,2,3,4,,,,,6,3,13,4,10,3,12,2,5,39%,3,,7,382,327,86%,1.86,,11,4,21,6,15,6,14,6,3,61%,3,,3,592,540,91%,3.07,,Away Win
1037979,Jesús Gil,UTC,2023-08-26T19:30:00+00:00,1693078200,1693078200,1693081800,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,536,Sevilla,https://media.api-sports.io/football/teams/536.png,false,547,Girona,https://media.api-sports.io/football/teams/547.png,true,1,2,1,1,1,2,,,,,4,13,21,4,13,8,11,6,4,51%,2,,1,394,316,80%,1.47,,3,5,8,0,6,2,18,6,1,49%,1,,4,411,330,80%,1.38,,Away Win
1037980,Juan Pulido,UTC,2023-08-27T17:30:00+00:00,1693157400,1693157400,1693161000,1497,Estadio de Mestalla,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,532,Valencia,https://media.api-sports.io/football/teams/532.png,false,727,Osasuna,https://media.api-sports.io/football/teams/727.png,true,1,2,0,1,1,2,,,,,4,10,16,2,10,6,13,6,3,65%,3,,0,510,428,84%,1.69,,2,3,7,2,6,1,12,3,1,35%,4,,3,283,191,67%,1.23,,Away Win
1037981,Juan Martínez,UTC,2023-08-28T17:30:00+00:00,1693243800,1693243800,1693247400,1476,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 3,546,Getafe,https://media.api-sports.io/football/teams/546.png,true,542,Alaves,https://media.api-sports.io/football/teams/542.png,false,1,0,0,0,1,0,,,,,4,9,15,2,14,1,13,4,0,47%,1,,1,307,201,65%,2.26,,2,9,16,5,9,7,15,5,3,53%,2,,3,337,228,68%,0.69,,Home Win
1037982,Ricardo De Burgos,UTC,2023-09-01T20:00:00+00:00,1693598400,1693598400,1693602000,19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,723,Almeria,https://media.api-sports.io/football/teams/723.png,false,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,true,2,3,0,2,2,3,,,,,5,8,16,3,11,5,9,6,1,63%,1,,4,611,540,88%,2.98,,8,4,14,2,12,2,9,5,3,37%,1,,3,346,273,79%,1.54,,Away Win
1037983,César Soto,UTC,2023-12-23T15:15:00+00:00,1703344500,1703344500,1703348100,19217,Estádio Cívitas Metropolitano,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,536,Sevilla,https://media.api-sports.io/football/teams/536.png,false,1,0,0,0,1,0,,,,,4,3,12,5,9,3,12,6,2,50%,7,1,2,483,412,85%,0.95,,2,3,8,3,4,4,19,5,0,50%,3,0,3,479,403,84%,0.29,,Home Win
1037984,Alejandro Muñiz,UTC,2023-09-02T19:00:00+00:00,1693681200,1693681200,1693684800,1489,Estadio Benito Villamarín,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,543,Real Betis,https://media.api-sports.io/football/teams/543.png,true,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,false,1,0,0,0,1,0,,,,,5,7,14,2,10,4,22,2,2,56%,3,,6,481,408,85%,1.07,,6,4,15,5,9,6,20,3,4,44%,5,,5,372,285,77%,1.43,,Home Win
1037985,Juan Pulido,UTC,2023-09-01T17:30:00+00:00,1693589400,1693589400,1693593000,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,724,Cadiz,https://media.api-sports.io/football/teams/724.png,true,533,Villarreal,https://media.api-sports.io/football/teams/533.png,false,3,1,2,1,3,1,,,,,4,6,18,8,9,9,21,7,2,42%,5,0,2,296,232,78%,2.09,,3,2,7,2,4,3,15,3,2,58%,4,1,1,430,360,84%,0.32,,Home Win
1037986,Mateo Busquets,UTC,2023-09-03T12:00:00+00:00,1693742400,1693742400,1693746000,1478,Estadi Municipal de Montilivi,Girona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,547,Girona,https://media.api-sports.io/football/teams/547.png,true,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,false,1,0,0,0,1,0,,,,,6,4,11,1,7,4,15,3,4,46%,3,,5,410,355,87%,1.03,,5,1,10,4,6,4,10,5,0,54%,3,,5,484,417,86%,1.06,,Home Win
1037987,Pablo González,UTC,2023-09-02T16:30:00+00:00,1693672200,1693672200,1693675800,1470,Estadio de Mendizorroza,Vitoria-Gasteiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,542,Alaves,https://media.api-sports.io/football/teams/542.png,true,532,Valencia,https://media.api-sports.io/football/teams/532.png,false,1,0,1,0,1,0,,,,,1,4,7,2,7,0,18,1,3,39%,4,,4,307,214,70%,1.30,,4,3,9,2,5,4,9,2,0,61%,2,,1,486,403,83%,0.76,,Home Win
1037988,Jorge Figueroa,UTC,2023-09-03T14:15:00+00:00,1693750500,1693750500,1693754100,19940,Estadi Mallorca Son Moix,Palma de Mallorca,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,798,Mallorca,https://media.api-sports.io/football/teams/798.png,,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,,0,0,0,0,0,0,,,,,2,2,8,4,5,3,12,3,5,33%,0,,3,249,145,58%,0.38,,3,4,11,4,8,3,17,5,4,67%,1,,1,479,390,81%,0.62,,Draw
1037989,Miguel Ortiz,UTC,2023-09-03T19:00:00+00:00,1693767600,1693767600,1693771200,1486,Estadio El Sadar,Iruñea,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,727,Osasuna,https://media.api-sports.io/football/teams/727.png,false,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,1,2,0,1,1,2,,,,,3,2,11,6,7,4,6,8,2,30%,1,1,2,255,194,76%,0.77,,4,3,9,2,7,2,16,5,2,70%,3,0,2,649,587,90%,2.00,,Away Win
1037990,Mario Melero,UTC,2023-09-02T14:15:00+00:00,1693664100,1693664100,1693667700,1456,Estadio Santiago Bernabéu,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,546,Getafe,https://media.api-sports.io/football/teams/546.png,false,2,1,0,1,2,1,,,,,12,9,26,5,17,9,12,11,2,76%,2,,1,728,644,88%,2.79,,2,2,6,2,3,3,16,1,0,24%,6,,10,226,151,67%,0.39,,Home Win
1037991,Javier Iglesias,UTC,2023-09-02T12:00:00+00:00,1693656000,1693656000,1693659600,1491,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 4,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,true,715,Granada CF,https://media.api-sports.io/football/teams/715.png,false,5,3,2,1,5,3,,,,,6,7,15,2,7,8,15,2,8,62%,1,,3,544,462,85%,2.32,,5,1,8,2,5,3,14,5,5,38%,5,,2,325,231,71%,0.75,,Home Win
1037992,Guillermo Cuadra,UTC,2023-09-16T12:00:00+00:00,1694865600,1694865600,1694869200,1460,San Mamés Barria,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 5,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,true,724,Cadiz,https://media.api-sports.io/football/teams/724.png,false,3,0,0,0,3,0,,,,,9,9,20,2,15,5,10,5,1,66%,1,,4,489,377,77%,2.87,,4,0,5,1,2,3,20,4,4,34%,4,,5,260,166,64%,0.29,,Home Win
1037993,José Sánchez,UTC,2023-09-16T19:00:00+00:00,1694890800,1694890800,1694894400,19939,Estadi Olímpic Lluís Companys,Barcelona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 5,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,543,Real Betis,https://media.api-sports.io/football/teams/543.png,false,5,0,2,0,5,0,,,,,9,6,17,2,10,7,9,9,3,66%,1,,2,655,595,91%,2.42,,2,8,11,1,6,5,10,5,3,34%,2,,4,338,283,84%,0.85,,Home Win
1037994,José Munuera,UTC,2023-09-16T16:30:00+00:00,1694881800,1694881800,1694885400,1467,Abanca-Balaídos,Vigo,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 5,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,false,798,Mallorca,https://media.api-sports.io/football/teams/798.png,true,0,1,0,0,0,1,,,,,4,9,16,3,12,4,9,10,2,61%,1,,2,515,425,83%,1.35,,4,3,7,0,5,2,15,1,0,39%,3,,4,346,263,76%,0.78,,Away Win
1037995,Alejandro Hernández,UTC,2023-09-17T12:00:00+00:00,1694952000,1694952000,1694955600,1476,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 5,546,Getafe,https://media.api-sports.io/football/teams/546.png,true,727,Osasuna,https://media.api-sports.io/football/teams/727.png,false,3,2,1,1,3,2,,,,,6,2,11,3,10,1,15,6,0,45%,6,1,1,351,236,67%,0.50,,3,5,8,0,4,4,11,3,7,55%,2,0,3,441,326,74%,1.13,,Home Win
